citizen_severity,nearby_reports,disaster_type,population_density,distance_critical_infra,alert_intensity,people_affected,historical_risk,severity_score,severity_level
Medium,2,Urban Fire,2226,6.82,36,15,27,30.11,Moderate
High,20,Flood,4715,5.31,73,104,37,62.92,High
Medium,13,Heatwave,4807,6.56,48,28,57,45.7,Medium
High,28,Earthquake,8212,0.38,88,144,93,84.53,Critical
Medium,11,Landslide,3554,3.65,32,32,23,39.96,Medium
Medium,7,Lightning,2145,6.25,33,9,28,32.71,Moderate
Medium,16,Heatwave,5818,2.21,45,46,59,53.22,High
High,22,Landslide,6514,2.75,65,94,40,62.89,High
High,22,Cyclone,9396,1.39,96,190,97,86.58,Critical
High,14,Urban Fire,4347,2.54,47,77,63,56.76,High
Medium,11,Medical Emergency,2812,3.47,34,16,50,37.42,Medium
High,25,Heatwave,8565,2.72,82,106,83,73.0,Severe
Low,4,Urban Fire,3801,8.0,19,14,32,26.18,Moderate
Low,5,Lightning,1493,7.11,6,10,3,16.16,Low
High,24,Medical Emergency,9201,0.71,98,178,91,84.76,Critical
High,18,Lightning,6637,2.06,88,135,78,70.67,Severe
High,19,Medical Emergency,6617,5.58,47,61,41,53.99,High
Medium,13,Lightning,5235,5.07,60,53,69,51.88,High
High,17,Forest Fire,7430,3.8,80,140,89,72.91,Severe
High,30,Urban Fire,9503,0.89,83,197,95,86.48,Critical
Medium,6,Urban Fire,4312,5.34,21,32,12,32.01,Moderate
Medium,20,Forest Fire,7282,4.75,68,68,73,61.87,High
High,17,Flood,7924,3.1,88,147,74,74.12,Severe
Medium,10,Earthquake,5168,6.29,46,66,39,46.09,Medium
High,17,Earthquake,7503,3.44,81,125,58,70.85,Severe
Low,1,Earthquake,1116,9.87,12,1,21,16.34,Low
High,30,Landslide,8959,0.77,94,183,100,89.8,Critical
Medium,7,Urban Fire,5200,6.44,39,60,30,40.21,Medium
High,30,Lightning,9760,1.46,89,150,99,85.37,Critical
Low,2,Medical Emergency,1268,7.69,23,15,4,15.45,Low
Medium,18,Forest Fire,6702,4.96,66,117,71,58.71,High
Medium,8,Landslide,3230,7.47,20,26,31,30.08,Moderate
Medium,14,Cyclone,3849,6.88,50,54,48,44.43,Medium
High,22,Urban Fire,5532,3.99,59,62,55,61.72,High
Medium,7,Earthquake,1394,6.62,17,6,36,33.91,Moderate
High,22,Lightning,4840,3.6,71,40,58,57.04,High
Medium,21,Landslide,4365,5.2,66,119,61,58.33,High
Low,5,Flood,380,8.12,0,5,14,15.99,Low
Medium,2,Forest Fire,1369,4.75,30,11,20,29.13,Moderate
Medium,5,Heatwave,4566,5.48,39,40,43,35.89,Medium
Low,0,Earthquake,121,9.77,14,11,24,15.83,Low
Medium,14,Earthquake,4924,4.35,32,51,53,48.35,Medium
Low,1,Forest Fire,1402,9.22,22,11,18,15.4,Low
Medium,13,Lightning,3080,4.04,40,17,28,39.97,Medium
Low,4,Cyclone,3191,4.11,18,14,18,26.57,Moderate
Low,2,Forest Fire,127,7.04,7,14,24,16.86,Low
High,10,Lightning,4871,3.84,47,75,74,53.07,High
High,26,Forest Fire,6883,3.33,85,98,65,75.03,Severe
Medium,2,Heatwave,4094,8.1,16,10,24,25.21,Moderate
Low,2,Landslide,125,6.73,4,12,2,14.73,Low
High,17,Forest Fire,7640,2.67,72,130,66,71.58,Severe
High,26,Cyclone,8213,0.17,96,158,90,85.61,Critical
High,21,Medical Emergency,4529,5.87,61,107,42,57.66,High
Low,1,Heatwave,482,8.62,8,2,11,14.34,Low
Medium,15,Heatwave,3785,5.3,33,25,35,39.88,Medium
Medium,14,Flood,3566,3.68,45,36,49,44.24,Medium
High,13,Cyclone,5857,3.54,70,94,74,64.2,High
High,20,Medical Emergency,6632,1.35,82,168,72,74.52,Severe
High,18,Landslide,5274,4.33,62,58,44,57.43,High
Medium,2,Medical Emergency,3681,8.73,17,17,31,23.19,Moderate
High,29,Medical Emergency,9215,1.19,93,181,85,87.15,Critical
Low,2,Landslide,3640,4.77,32,30,13,27.54,Moderate
Low,0,Lightning,839,8.18,10,3,2,13.03,Low
Low,2,Flood,3706,4.75,32,14,22,30.18,Moderate
High,28,Urban Fire,9485,0.25,100,168,83,87.89,Critical
Low,1,Flood,2218,9.06,1,12,21,16.08,Low
High,26,Medical Emergency,8698,0.19,96,197,88,86.09,Critical
High,27,Forest Fire,8577,1.89,98,184,93,86.21,Critical
Low,5,Heatwave,1122,9.84,0,5,15,14.09,Low
High,25,Lightning,9148,0.63,89,198,86,84.68,Critical
High,25,Urban Fire,8445,0.3,88,139,88,84.6,Critical
High,22,Earthquake,9116,2.0,84,99,87,76.55,Severe
Medium,10,Medical Emergency,1553,8.85,37,22,15,28.48,Moderate
High,26,Medical Emergency,9117,1.21,88,99,57,72.55,Severe
Low,4,Lightning,1458,9.86,13,3,0,12.67,Low
Low,6,Forest Fire,1006,4.59,29,25,35,26.91,Moderate
High,11,Heatwave,4248,3.27,62,92,39,54.24,High
Low,8,Urban Fire,2558,4.22,20,34,20,30.98,Moderate
Medium,17,Forest Fire,6112,4.35,62,99,64,56.81,High
Low,1,Medical Emergency,1140,7.84,21,0,25,16.6,Low
Low,6,Forest Fire,3274,6.16,27,11,14,28.88,Moderate
Medium,15,Forest Fire,3637,6.52,59,24,43,43.66,Medium
High,21,Urban Fire,8993,0.98,80,145,89,80.57,Severe
High,28,Lightning,9093,0.24,95,133,77,86.06,Critical
Medium,4,Flood,2085,5.84,33,12,17,29.58,Moderate
High,25,Urban Fire,9664,1.27,94,185,71,85.09,Critical
High,22,Heatwave,8282,0.77,89,194,91,85.78,Critical
High,17,Lightning,7791,3.66,57,87,59,62.15,High
High,24,Cyclone,8445,1.31,94,140,98,84.85,Critical
High,25,Flood,6230,0.84,80,102,58,71.05,Severe
Medium,6,Medical Emergency,3587,8.78,20,25,35,30.29,Moderate
High,20,Landslide,7246,0.89,86,81,90,75.62,Severe
High,26,Forest Fire,8866,3.37,65,99,61,69.9,Severe
Low,5,Forest Fire,3815,4.13,17,27,34,30.74,Moderate
Medium,3,Cyclone,2198,8.34,35,17,17,31.81,Moderate
Medium,7,Landslide,3560,5.51,31,13,35,33.29,Moderate
Medium,15,Landslide,5645,5.93,50,95,38,50.11,High
High,22,Forest Fire,4959,5.92,75,86,37,58.76,High
Medium,11,Lightning,3805,6.44,59,19,60,40.74,Medium
Low,2,Forest Fire,215,7.27,3,10,25,15.16,Low
High,24,Lightning,9497,0.76,77,139,60,77.06,Severe
Low,5,Forest Fire,378,8.83,0,6,16,15.39,Low
High,30,Urban Fire,8530,0.35,90,174,88,88.24,Critical
High,17,Cyclone,7057,2.63,62,87,42,64.37,High
High,25,Heatwave,6860,2.55,67,93,63,68.85,Severe
High,23,Flood,9030,1.82,99,191,93,85.24,Critical
Medium,15,Urban Fire,5649,4.35,61,90,51,54.89,High
High,27,Urban Fire,9096,1.11,87,181,85,87.14,Critical
High,20,Forest Fire,7742,5.54,53,110,72,65.1,High
Medium,10,Forest Fire,1200,4.92,16,25,21,29.39,Moderate
Low,1,Medical Emergency,1802,7.94,6,10,19,13.32,Low
High,13,Cyclone,6163,2.08,63,80,70,60.63,High
Medium,5,Heatwave,5829,4.06,44,19,51,44.11,Medium
High,29,Urban Fire,8763,1.58,90,198,81,84.63,Critical
Low,0,Landslide,593,9.95,13,4,15,11.83,Low
High,13,Lightning,4154,2.04,48,57,55,55.05,High
Medium,14,Medical Emergency,4816,4.74,38,55,50,46.89,Medium
Low,4,Cyclone,506,9.79,6,6,8,16.58,Low
High,22,Medical Emergency,9100,1.68,78,123,78,75.15,Severe
